Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price
Apple,14,m3 pro 12 n cleos,18gb,gpu 18 n cleos,MacOs,1tb ssd,2749

HP,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,729

HP,17.3,intel core i5-1334u,16gb,integrated graphics,No Os/ Linux,512gb ssd,789

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512 gb,789

HP,14,intel core i7-13700h,16gb,integrated graphics,No Os/ Linux,1tb ssd,1259.01

HP,14,amd ryzen 7 pro 7840hs,16gb,integrated graphics,No Os/ Linux,512gb ssd,1359

Lenovo,15.6,amd ryzen 7 5825u,16 gb,integrated graphics,No Os/ Linux,512gb ssd,510.14

Medion,15.6,amd ryzen 3 3200u,8gb,integrated graphics,No Os/ Linux,256gb ssd,267.99

Microsoft,13,intel core i7-1265u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1798.62

HP,14,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1059

Lenovo,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,1059

Asus,14,intel core i5-1240p,16gb,integrated graphics,No Os/ Linux,512gb ssd,898.99

Asus,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,609.01

HP,14,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1221.43

HP,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1180.6

Asus,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,512gb ssd,439

HP,15.6,amd ryzen 7 pro 7840hs,32gb,rtx a1000,No Os/ Linux,1tb ssd,1899

Lenovo,16,intel core i9-13900hx,32gb,rtx 4090,No Os/ Linux,1tb ssd,5874.86

MSI,15.6,amd ryzen 7 7735hs,16gb,rtx 4050,No Os/ Linux,512gb ssd,949

HP,14,intel core i5-1340p,16gb,integrated graphics,No Os/ Linux,512gb ssd,999

Lenovo,15.6,intel core i7-1165g7,16 gb,integrated graphics,No Os/ Linux,512 gb ssd,689

MSI,17.3,intel core i7-13700h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1489

HP,15.6,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,512gb ssd,448.58

MSI,17,intel core i9-13980hx,32gb,rtx 4090,No Os/ Linux,2tb ssd,3299

MSI,16,intel core i7-1360p,32gb,rtx 4050,No Os/ Linux,1tb ssd,1699

Alurin,14,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,389.9

HP,16.1,amd ryzen 7 5800h,16gb,rtx 3050 ti,No Os/ Linux,512gb ssd,1149

HP,16.1,amd ryzen 7 7840hs,32gb,rtx 4070,No Os/ Linux,1tb ssd,1529

Lenovo,14.5,intel core i5-12500h,16gb,integrated graphics,No Os/ Linux,512gb ssd,1299

MSI,17,intel core i9-13980hx,32gb,rtx 4090,No Os/ Linux,2tb ssd,3299

Lenovo,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,729

Apple,14,m3 8 n cleos,8gb,gpu 10 n cleos,MacOs,512gb ssd,1829

MSI,13.3,intel core i5-1340p,16gb,integrated graphics,No Os/ Linux,512gb ssd,979

MSI,16,intel core i9-13900h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1769

Alurin,15.6.11,amd ryzen 7 5700u,16gb,integrated graphics,Windows,500gb ssd,569.9

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,16,intel core i9-13980hx,32gb,rtx 4080,No Os/ Linux,2tb ssd,2999

